id;delivery_address;delivery_latitude;delivery_longitude;delivery_distance;delivery_fees;status
1;back-end PCI;29683;83813;73060;59840;Administrator Vermont Total
2;Loan deposit feed;42295;9409;83577;54746;Mississippi
3;leading azure;95500;1878;94553;7483;Chief copying
4;Car;58983;58840;48327;34235;Home Frozen invoice
5;Station Tugrik input;54556;56269;68755;34996;mindshare
6;Tennessee;53989;50516;41936;20428;e-services Chicken
7;granular;53549;57695;92521;21980;override
8;Arizona Hampshire Fiji;12686;66786;51369;37449;Forward Montana
9;Wooden;67317;1380;86826;74327;Associate Borders
10;knowledge hack internet;65206;3157;74856;63670;azure Islands Borders
