id;name;address;phone;email;description;language;activated
1;initiative;Riel projection Rubber;"6";"xYGZA@PBCW";invoice Compatible;SPANISH;false
2;revolutionize Orchestrator Marketing;Web;"8";"Oe1F@YG8fIp";Djibouti navigate alliance;SPANISH;false
3;Planner;transmit Global transitional;"1";"JRj@P-0X4m";Garden;SPANISH;true
4;Awesome South;Avon architectures compress;"+41";"hx@fLPa#FOx00";Global Fields Concrete;JAPANESE;true
5;RAM;Shoes;"9";"fRQrk@CXYMk]nqQh";Nebraska;ENGLISH;true
6;TCP Engineer haptic;synergies invoice open-source;"5";"Z@Eyz~wEtp";Configuration bluetooth;SPANISH;true
7;connect yellow Markets;transform Functionality;"+24";"jy1kmD@nkVjz9nK";applications parallelism;ENGLISH;false
8;primary;SMTP Grocery;"3";"KE@cPk|5P0PL9";Buckinghamshire;JAPANESE;true
9;recontextualize Applications Intranet;GB Nevada;"+28";"+lb@PJHvv=Q-";auxiliary User-centric Licensed;SPANISH;false
10;Kwacha;Games back-end;"+21";"vV-MBi@3@B";expedite Common Dominica;FRENCH;false
